Task ID,Story ID,Task Name,Phase,Type,Week,Assignee,Classification,Approx Effort (days),One-Time / Recurring,Importance,Recommendation,Observations & Analysis
T094,S029,Build GitHub Actions CI pipeline (lint → test → build → validate),P2,MLOps,Wk17,MLOps Engineer,CI/CD,4,Recurring,High,KEEP — Sprint 8,"4 stages: flake8 lint / pytest / Docker build / model accuracy check. Quality gates: coverage>80% / no critical bugs / ML accuracy>90%."
T095,S029,Build GitHub Actions retraining workflow (on drift webhook),P2,MLOps,Wk18,MLOps Engineer,CI/CD,3,Recurring,High,KEEP — Sprint 8,"Trigger: workflow_dispatch or webhook from drift detection. Steps: checkout → setup python → retrain → evaluate → register → deploy if better."
T096,S030,Build model serving health check and readiness probes,P2,MLOps,Wk18,MLOps Engineer,Deployment,2,Recurring,High,KEEP — Sprint 8,"/health: uptime / models_loaded / last_prediction_time. /ready: all models loaded + DB connected + quality > threshold. Kubernetes-compatible."
T097,S030,Implement model rollback procedure (automated + manual),P2,MLOps,Wk18,MLOps Engineer,Deployment,2,Recurring,Critical,KEEP — Sprint 8,"Automated: if error_rate > 1% for 5min → rollback to previous Production model version. Manual: mlflow models transition --stage Archived."
T098,S030,Build production deployment checklist (30-point validation per MARS),P2,MLOps,Wk18,MLOps Engineer,Deployment,2,One-Time,High,KEEP — Sprint 8,"6 categories: Code Quality (6) / ML Validation (5) / Infrastructure (6) / Data Quality (5) / Documentation (4) / Communication (4). GO/NO-GO gate."
,,,,,,,,,,,,
,,SPRINT 9 — TESTING & OPERATIONAL RUNBOOKS,,,,,,,,,,
T099,S031,Write unit tests for PS-1 model training (test_ps1_failure.py),P3,ML Test,Wk19,ML Engineer,Testing,3,Recurring,High,KEEP — Sprint 9,"pytest: test_data_split / test_model_accuracy / test_feature_importance / test_threshold / test_ensemble_weights. Fixtures with synthetic data."
T100,S031,Write unit tests for PS-2 to PS-5 training notebooks,P3,ML Test,Wk19,ML Engineer,Testing,4,Recurring,High,KEEP — Sprint 9,"test_ps2: association_rules_count / markov_stochastic. test_ps3: shap_values_shape. test_ps4: anomaly_rate_range. test_ps5: rul_positive / concordance."
T101,S031,Write integration tests for daily pipeline (end-to-end),P3,MLOps Test,Wk19,MLOps Engineer,Testing,3,Recurring,High,KEEP — Sprint 9,"Test full pipeline: generate_test_data → ingest → clean → predict_all_ps → drift_check → retrain_if_needed. Assert watermark / CDC / quality gates."
T102,S032,Write API integration tests for all prediction endpoints,P3,App Test,Wk19,ML Engineer,Testing,3,Recurring,High,KEEP — Sprint 9,"pytest + httpx: test_predict_failure / test_predict_anomaly / test_predict_sla_risk / test_batch_all / test_dashboard_summary. Schema validation."
T103,S032,Write model performance regression tests (accuracy bounds),P3,ML Test,Wk20,ML Engineer,Testing,2,Recurring,Critical,KEEP — Sprint 9,"Automated tests that FAIL if: PS1 AUC < 0.90 / PS5 concordance < 0.75 / PS4 anomaly_rate > 20%. Prevents deploying degraded models."
T104,S033,Build operational runbook: Model Accuracy Degradation,P3,MLOps,Wk20,MLOps Engineer,Runbooks,2,One-Time,High,KEEP — Sprint 9,"Trigger: accuracy<90%. Steps: verify → check data quality → analyze drift → branch (85-90%: WARNING retrain / <85%: CRITICAL fallback model)."
T105,S033,Build operational runbook: Pipeline Failure (Bronze/Silver/Gold),P3,MLOps,Wk20,MLOps Engineer,Runbooks,2,One-Time,High,KEEP — Sprint 9,"Trigger: ADF/pipeline status=Failed. Steps: identify failed step → check error logs → diagnose (5 common causes) → fix → retry → escalate if >2hr."
T106,S033,Build operational runbook: Drift Detected / Retraining Required,P3,MLOps,Wk20,MLOps Engineer,Runbooks,2,One-Time,High,KEEP — Sprint 9,"Trigger: drift_share>30%. Steps: confirm drift (not data quality issue) → identify drifted features → run retraining → validate → deploy → monitor."
T107,S034,Build operational runbook: API High Error Rate / Latency Spike,P3,MLOps,Wk20,MLOps Engineer,Runbooks,2,One-Time,High,KEEP — Sprint 9,"Trigger: error_rate>1% or P95>500ms. Steps: check API logs → check model loading → check DB connections → restart if needed → scale if load."
T108,S034,Build operational runbook: SLA Breach Risk / Critical Devices Alert,P3,MLOps,Wk20,MLOps Engineer,Runbooks,2,One-Time,High,KEEP — Sprint 9,"Trigger: devices_at_risk>20 or critical_devices>5. Steps: validate predictions → identify devices → generate maintenance work orders → notify operations."
T109,S034,Build operational runbook: Blue-Green Deployment Rollback,P3,MLOps,Wk20,MLOps Engineer,Runbooks,2,One-Time,High,KEEP — Sprint 9,"Trigger: post-deploy error_rate>1% or accuracy<90%. Steps: stop traffic to Green → route 100% to Blue → verify health → investigate Green → re-deploy."
T110,S035,Build operational runbook: Cache Failure / Redis Connection Issues,P3,MLOps,Wk20,MLOps Engineer,Runbooks,1,One-Time,Medium,KEEP — Sprint 9,"Trigger: cache_hit_rate<50% or Redis connection error. Steps: check Redis health → check network → restart Redis → fallback to direct inference."
,,,,,,,,,,,,
,,SUMMARY,,,,,,,,,,
,,Total Tasks: 110,,,,,,Total Effort: ~260 days,,,,
,,ML Model Development Tasks: 53,,,,,,ML Effort: ~124 days,,,,
,,MLOps Tasks: 45,,,,,,MLOps Effort: ~110 days,,,,
,,API/Serving Tasks: 12,,,,,,API Effort: ~26 days,,,,
,,Sprint Duration: 2 weeks each,,,,,,Total Sprints: 9 (18 weeks),,,,
,,Team Size: 2 ML Engineers + 1 MLOps Engineer,,,,,,,,,,
